Action,Campaign,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Networks,Languages,Location,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad Type,Final URL,Path 1,Path 2,Headline 1,Headline 1 position,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Asset Type,Link Text,Description Line 1,Description Line 2,Callout Text,Header,Values
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Search,Paused,500.0,MANUAL_CPC,Google search,English,"Delhi, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Near Me,Enabled,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Near Me,,82.5,[music classes near me],Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Near Me,,82.5,"""music classes near me""",Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Near Me,,,[music classes teacher near me],Negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Near Me,,,[music classes in gtb nagar],Negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Near Me,,,[music classes fees gtb nagar],Negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Near Me,,,[best music classes academy delhi],Negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Near Me,,,,,Enabled,Responsive search ad,https://rhythmraga.in,MusicClasses,GtbNagar,Music Classes Near Me,HEADLINE_1,Offline Music Classes,Music Classes in GTB Nagar,Near GTB Nagar Metro Gate 4,GTB Nagar Music Studio,Learn Music From Scratch,Book In-Person Studio Trial,Visit Our GTB Nagar Studio,Reserve Your Studio Demo Now,Call or WhatsApp Us Today,1-on-1 Certified Mentors,Structured Course Curriculum,Small Batches (Max 4-5),Classes for Kids & Adults,Beginner to Advanced Batches,Offline music classes at GTB Nagar (near Metro Gate 4). 1-on-1 certified mentors.,Structured in-studio music lessons near Hudson Lane. Flexible morning & evening batches.,Premier physical music academy in North Delhi. Book your in-person studio trial today!,Small offline batches for kids & adults in GTB Nagar. Call or WhatsApp to book demo.,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Teacher Near Me,Enabled,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Teacher Near Me,,82.5,[music classes teacher near me],Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,,,,,,,SKAG - Music Classes Teacher Near Me,,82.5,"""music classes teacher near me""",Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
