Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type,Default max. CPC
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Call Intent - Music Academy Contact,music classes contact number gtb nagar,Exact match,45.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Call Intent - Music Academy Contact,music academy phone number near me,Phrase match,45.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Call Intent - Music Academy Contact,music school near gtb nagar metro,Exact match,45.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Call Intent - Music Academy Contact,call music classes north delhi,Phrase match,45.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Call Intent - Music Academy Contact,music academy near me contact,Exact match,45.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Call Intent - Music Academy Contact,music coaching number hudson lane,Phrase match,45.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Nearby Instruments - Call First,guitar classes near me call,Exact match,40.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Nearby Instruments - Call First,guitar classes in gtb nagar phone number,Phrase match,40.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Nearby Instruments - Call First,piano classes near me with fees,Exact match,40.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Nearby Instruments - Call First,drum classes in gtb nagar contact,Phrase match,40.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Nearby Instruments - Call First,singing classes near me phone number,Exact match,40.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Nearby Instruments - Call First,keyboard tutor near me contact,Phrase match,40.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Neighborhood Areas - 5km Radius,music classes in hudson lane,Exact match,42.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Neighborhood Areas - 5km Radius,music classes in model town,Phrase match,42.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Neighborhood Areas - 5km Radius,music academy mukherjee nagar,Exact match,42.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Neighborhood Areas - 5km Radius,music coaching kamla nagar,Phrase match,42.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Neighborhood Areas - 5km Radius,best music academy in north campus,Exact match,42.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Neighborhood Areas - 5km Radius,music classes roop nagar delhi,Phrase match,42.00
Keyword,Add,Enabled,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Neighborhood Areas - 5km Radius,music teacher civil lines delhi,Phrase match,42.00
