Row Type,Action,Keyword status,Level,Campaign,Ad group,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,free chords,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,free tabs,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,free pdf,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,free sheet music,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,free download,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,free lyrics,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,chords,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,tabs,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,lyrics,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,jobs,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,job,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,salary,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,vacancy,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,career,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,hiring,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,recruitment,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,zoom classes,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,online course,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,virtual class,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,olx,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,quikr,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,used instruments,Broad match
Negative keyword,Add,Enabled,Campaign,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,,repair,Broad match
