Row Type,Action,Campaign,Location,Status
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,5.000000km around 28.697700 77.206900,Enabled
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Uttar Pradesh, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Bihar, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Maharashtra, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Karnataka, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Tamil Nadu, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"West Bengal, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Gujarat, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Rajasthan, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Telangana, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Kerala, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Punjab, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Haryana, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Madhya Pradesh, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Odisha, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Andhra Pradesh, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Assam, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Jharkhand, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Uttarakhand, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Himachal Pradesh, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Jammu and Kashmir, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Goa, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Chhattisgarh, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Tripura, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Meghalaya, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,"Manipur, India",Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,United States,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Canada,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,United Kingdom,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Australia,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Germany,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,France,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,South Africa,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Nigeria,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,United Arab Emirates,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Pakistan,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Bangladesh,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Indonesia,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Kenya,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Uganda,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Malaysia,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Philippines,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Saudi Arabia,Excluded
Location,Add,LOCAL_CALLS_GMB_GTB_NAGAR_5KM,Singapore,Excluded
