Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type,Default max. CPC
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Near Me,music classes near me,Exact match,82.50
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Near Me,music classes near me,Phrase match,82.50
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Teacher Near Me,music classes teacher near me,Exact match,82.50
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Teacher Near Me,music classes teacher near me,Phrase match,82.50
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes In Gtb Nagar,music classes in gtb nagar,Exact match,71.50
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes In Gtb Nagar,music classes in gtb nagar,Phrase match,71.50
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Fees Gtb Nagar,music classes fees gtb nagar,Exact match,71.50
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Fees Gtb Nagar,music classes fees gtb nagar,Phrase match,71.50
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Best Music Classes Academy Delhi,best music classes academy delhi,Exact match,55.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Best Music Classes Academy Delhi,best music classes academy delhi,Phrase match,55.00
