Row Type,Action,Keyword status,Level,Campaign,Ad group,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,free chords,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,free tabs,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,free pdf,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,free notes,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,free download,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,free lyrics,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,free tutorial,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,free sheet music,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,jobs,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,job,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,salary,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,vacancy,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,career,Broad match
Negative keyword,Add,Enabled,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,,hiring,Broad match
