Row Type,Action,Campaign,Location,Status
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,5.000000km around 28.697700 77.206900,Enabled
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Uttar Pradesh,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Bihar,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Maharashtra,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Karnataka,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Tamil Nadu,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,West Bengal,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Gujarat,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Rajasthan,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Telangana,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Kerala,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Punjab,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Haryana,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Madhya Pradesh,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Odisha,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Andhra Pradesh,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Assam,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Jharkhand,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Uttarakhand,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Himachal Pradesh,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Jammu and Kashmir,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Goa,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Chhattisgarh,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Tripura,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Meghalaya,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Manipur,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,United States,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Canada,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,United Kingdom,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Australia,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Germany,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,France,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,South Africa,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Nigeria,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,United Arab Emirates,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Pakistan,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Bangladesh,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Indonesia,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Kenya,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Uganda,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Malaysia,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Philippines,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Saudi Arabia,Excluded
Location,Add,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Singapore,Excluded
