Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type,Default max. CPC
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Guitar Classes,guitar classes near me,Exact match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Guitar Classes,guitar classes near me,Phrase match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Guitar Classes,guitar classes in gtb nagar,Exact match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Guitar Classes,guitar classes in gtb nagar,Phrase match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Guitar Classes,guitar lessons near me,Phrase match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Guitar Classes,learn guitar in delhi,Phrase match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Piano & Keyboard,piano classes near me,Exact match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Piano & Keyboard,piano classes near me,Phrase match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Piano & Keyboard,keyboard classes near me,Exact match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Piano & Keyboard,keyboard classes in gtb nagar,Phrase match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Piano & Keyboard,learn piano in delhi,Phrase match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Piano & Keyboard,piano teacher north delhi,Phrase match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Drum Lessons,drum classes near me,Exact match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Drum Lessons,drum classes near me,Phrase match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Drum Lessons,drum lessons in delhi,Exact match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Drum Lessons,drum classes in gtb nagar,Phrase match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Drum Lessons,learn drums near me,Phrase match,70.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Singing & Vocals,singing classes near me,Exact match,65.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Singing & Vocals,singing classes near me,Phrase match,65.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Singing & Vocals,vocal classes in gtb nagar,Exact match,65.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Singing & Vocals,classical singing classes delhi,Phrase match,65.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Singing & Vocals,music vocal coach near me,Phrase match,65.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Singing & Vocals,learn singing in delhi,Phrase match,65.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Music Academy & School,music academy near me,Exact match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Music Academy & School,music academy near me,Phrase match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Music Academy & School,music institute in gtb nagar,Exact match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Music Academy & School,music school north delhi,Phrase match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Music Academy & School,best music academy in delhi,Exact match,75.00
Keyword,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Music Academy & School,best music academy in delhi,Phrase match,75.00
