Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type,Default max. CPC
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar classes near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar classes in gtb nagar,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar lessons near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,learn guitar gtb nagar,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar teacher near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar classes in north delhi,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar classes near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar classes in gtb nagar,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar lessons in hudson lane,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar classes near delhi university,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,acoustic guitar classes near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Guitar,guitar classes for beginners near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,piano classes near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,keyboard classes near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,piano classes in gtb nagar,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,keyboard lessons in north delhi,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,piano teacher near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,piano classes near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,keyboard classes near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,piano classes in north delhi,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,keyboard classes in gtb nagar,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,learn piano near delhi university,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Piano_Keyboard,piano lessons for beginners near me,Phrase,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,singing classes near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,vocal classes near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,singing classes in gtb nagar,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,classical singing classes near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,vocal coach near me,Exact,24.00
Keyword,Add,Enabled,RR_SEARCH_GTB_NAGAR_CORE,AG_Vocals_Singing,singing classes near me,Phrase,24.00
