Row Type,Action,Campaign,Keyword,Type
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,mumbai,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,bangalore,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,bengaluru,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,hyderabad,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,chennai,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,kolkata,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,pune,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,ahmedabad,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,jaipur,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,chandigarh,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,lucknow,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,surat,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,bhopal,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,patna,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,noida,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,gurgaon,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,gurugram,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,faridabad,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,ghaziabad,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,online,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,online course,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,online classes,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,zoom,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,youtube,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,tutorial,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,free,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,pdf,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,syllabus,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,notes,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,salary,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,job,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,vacancy,Phrase
Campaign negative keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,hire,Phrase
