Row Type,Action,Campaign,Campaign status,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,EU political ads,Ad group,Ad group status,Default max. CPC,Keyword,Type,Keyword status,Ad type,Ad status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4
Campaign,Add,RR_SEARCH_GTB_NAGAR_CORE,Paused,Search,Google search,400.00,Daily,Manual CPC,en,No,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,Enabled,24.00,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Piano_Keyboard,Enabled,24.00,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Vocals_Singing,Enabled,24.00,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Music_Classes_Generic,Enabled,24.00,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar classes near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar classes in gtb nagar,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar lessons near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,learn guitar gtb nagar,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar teacher near me,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar classes in north delhi,Exact,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar classes near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar classes in gtb nagar,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar lessons in hudson lane,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
Keyword,Add,RR_SEARCH_GTB_NAGAR_CORE,,,,,,,,,AG_Guitar,,24.00,guitar classes near delhi university,Phrase,Enabled,,,,,,,,,,,,,,,,,,,
