Row Type,Action,Campaign,Campaign status,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,EU political ads,Ad group,Ad group status,Default max. CPC,Keyword,Type,Keyword status,Ad type,Ad status,Country code,Phone number,Business name,Headline 1,Headline 2,Description 1,Description 2,Verification URL,Final URL
Campaign,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,Paused,Search,Google search,300.00,Daily,Manual CPC,en,No,,,,,,,,,,,,,,,,,
Ad group,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Music_Academy,Enabled,24.00,,,,,,,,,,,,,,
Ad group,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Vocals_Singing,Enabled,24.00,,,,,,,,,,,,,,
Ad group,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Guitar,Enabled,24.00,,,,,,,,,,,,,,
Ad group,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Piano,Enabled,24.00,,,,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Music_Academy,,24.00,music classes near me,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Music_Academy,,24.00,music classes near me,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Music_Academy,,24.00,music academy near me,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Music_Academy,,24.00,music academy near me,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Music_Academy,,24.00,music classes in gtb nagar,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Music_Academy,,24.00,music classes in gtb nagar,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Music_Academy,,24.00,music school near me,Phrase,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Vocals_Singing,,24.00,singing classes near me,Exact,Enabled,,,,,,,,,,,
Keyword,Add,RR_CALLS_GMB_GTB_NAGAR_MAX_CALLS,,,,,,,,,AG_Call_Vocals_Singing,,24.00,singing classes near me,Phrase,Enabled,,,,,,,,,,,
