Row Type,Action,Campaign,Keyword,Type
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,mumbai,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,bangalore,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,bengaluru,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,hyderabad,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,chennai,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,kolkata,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,pune,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,ahmedabad,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,jaipur,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,chandigarh,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,lucknow,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,surat,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,bhopal,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,patna,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,noida,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,gurgaon,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,gurugram,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,faridabad,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,ghaziabad,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,online,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,online course,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,online classes,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,zoom,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,youtube,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,tutorial,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,free,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,pdf,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,syllabus,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,notes,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,salary,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,job,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,vacancy,Phrase
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,hire,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,mumbai,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,bangalore,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,bengaluru,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,hyderabad,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,chennai,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,kolkata,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,pune,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,ahmedabad,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,jaipur,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,chandigarh,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,lucknow,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,surat,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,bhopal,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,patna,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,noida,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,gurgaon,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,gurugram,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,faridabad,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,ghaziabad,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,online,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,online course,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,online classes,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,zoom,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,youtube,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,tutorial,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,free,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,pdf,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,syllabus,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,notes,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,salary,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,job,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,vacancy,Phrase
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,hire,Phrase
