Row Type,Action,Campaign,Campaign status,Budget,Budget type,EU political ads,Ad group,Keyword,Type,Keyword status,Default max. CPC
Campaign,Edit,RR_Search_Vocals_Hyperlocal_5KM,,300.00,Daily,No,,,,,
Keyword,Edit,RR_Search_Instruments_Hyperlocal_5KM,,,,,AG_Guitar_Local,guitar classes,Phrase,Paused,24.00
Keyword,Edit,RR_Search_Instruments_Hyperlocal_5KM,,,,,AG_Piano_Keys_Local,piano classes,Phrase,Paused,24.00
Keyword,Edit,RR_Search_Instruments_Hyperlocal_5KM,,,,,AG_Piano_Keys_Local,piano classes near me,Phrase,Paused,24.00
Keyword,Edit,RR_Search_Instruments_Hyperlocal_5KM,,,,,AG_Guitar_Local,guitar classes near me,Phrase,Enabled,24.00
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,mumbai,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,bangalore,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,bengaluru,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,hyderabad,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,chennai,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,kolkata,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,pune,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,ahmedabad,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,jaipur,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,chandigarh,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,lucknow,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,surat,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,bhopal,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,patna,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,noida,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,gurgaon,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,gurugram,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,faridabad,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,ghaziabad,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,online,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,online course,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,online classes,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,zoom,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,youtube,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,tutorial,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,free,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,pdf,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,syllabus,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,notes,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,salary,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,job,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,vacancy,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Vocals_Hyperlocal_5KM,,,,,,hire,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,mumbai,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,bangalore,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,bengaluru,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,hyderabad,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,chennai,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,kolkata,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,pune,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,ahmedabad,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,jaipur,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,chandigarh,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,lucknow,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,surat,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,bhopal,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,patna,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,noida,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,gurgaon,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,gurugram,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,faridabad,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,ghaziabad,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,online,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,online course,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,online classes,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,zoom,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,youtube,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,tutorial,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,free,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,pdf,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,syllabus,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,notes,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,salary,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,job,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,vacancy,Phrase,Enabled,
Campaign negative keyword,Add,RR_Search_Instruments_Hyperlocal_5KM,,,,,,hire,Phrase,Enabled,
